true_distance_m,base_quantized_y_px,pixel_offset_px,observed_y_px,estimated_distance_m,signed_error_m,absolute_error_m,relative_error_pct
1.7000000000000004,399.0,5,404.0,1.6580375389814705,-0.04196246101852985,0.04196246101852985,2.46838005991352
1.7500000000000004,393.0,-5,388.0,1.7990440147893272,0.04904401478932674,0.04904401478932674,2.80251513081867
1.7500000000000004,393.0,-2,391.0,1.771153505978839,0.021153505978838583,0.021153505978838583,1.2087717702193472
1.7500000000000004,393.0,-1,392.0,1.762013087475276,0.012013087475275519,0.012013087475275519,0.6864621414443152
1.7500000000000004,393.0,0,393.0,1.7529492399297044,0.002949239929703973,0.002949239929703973,0.1685279959830841
1.7500000000000004,393.0,1,394.0,1.7439610051820804,-0.006038994817920029,0.006038994817920029,0.3450854181668587
1.7500000000000004,393.0,2,395.0,1.7350474409923593,-0.014952559007641142,0.014952559007641142,0.8544319432937794
1.7500000000000004,393.0,5,398.0,1.7087455813121315,-0.04125441868786894,0.04125441868786894,2.3573953535925103
1.8000000000000005,388.0,-5,383.0,1.8471539169062756,0.04715391690627513,0.04715391690627513,2.6196620503486177
1.8000000000000005,388.0,-2,386.0,1.8180388561468501,0.018038856146849636,0.018038856146849636,1.0021586748249796
1.8000000000000005,388.0,-1,387.0,1.8085006291262538,0.008500629126253267,0.008500629126253267,0.47225717368073694
1.8000000000000005,388.0,0,388.0,1.7990440147893272,-0.0009559852106733047,0.0009559852106733047,0.053110289481850245
1.8000000000000005,388.0,1,389.0,1.7896679701346712,-0.010332029865329329,0.010332029865329329,0.5740016591849626
1.8000000000000005,388.0,2,390.0,1.7803714698580917,-0.019628530141908795,0.019628530141908795,1.0904738967727106
1.8000000000000005,388.0,5,393.0,1.7529492399297044,-0.04705076007029607,0.04705076007029607,2.6139311150164475
1.8500000000000005,383.0,-5,378.0,1.8974140423893675,0.04741404238936697,0.04741404238936697,2.562921210236052
1.8500000000000005,383.0,-2,381.0,1.8669919745293975,0.016991974529396936,0.016991974529396936,0.9184851096971314
1.8500000000000005,383.0,-1,382.0,1.8570293922540053,0.007029392254004785,0.007029392254004785,0.3799671488651234
1.8500000000000005,383.0,0,383.0,1.8471539169062756,-0.002846083093724916,0.002846083093724916,0.15384232939053596
1.8500000000000005,383.0,1,384.0,1.8373644110415865,-0.01263558895841399,0.01263558895841399,0.6830048085629181
1.8500000000000005,383.0,2,385.0,1.8276597569332034,-0.02234024306679716,0.02234024306679716,1.2075807063133597
1.8500000000000005,383.0,5,388.0,1.7990440147893272,-0.05095598521067335,0.05095598521067335,2.7543775789553155
1.9000000000000006,378.0,-5,373.0,1.949971839345048,0.04997183934504745,0.04997183934504745,2.6300968076340756
1.9000000000000006,378.0,-2,376.0,1.9181527366557638,0.018152736655763224,0.018152736655763224,0.9554071924085904
1.9000000000000006,378.0,-1,377.0,1.9077368367123282,0.0077368367123276105,0.0077368367123276105,0.40720193222776885
1.9000000000000006,378.0,0,378.0,1.8974140423893675,-0.0025859576106330717,0.0025859576106330717,0.13610303213858269
1.9000000000000006,378.0,1,379.0,1.887183110863123,-0.012816889136877618,0.012816889136877618,0.6745731124672428
1.9000000000000006,378.0,2,380.0,1.877042821331689,-0.022957178668311595,0.022957178668311595,1.2082725614900836
1.9000000000000006,378.0,5,383.0,1.8471539169062756,-0.05284608309372496,0.05284608309372496,2.781372794406576
1.9500000000000006,373.0,-5,368.0,2.0049885525977706,0.054988552597770024,0.054988552597770024,2.819925774244616
1.9500000000000006,373.0,-2,371.0,1.971673925051138,0.0216739250511373,0.0216739250511373,1.1114833359557585
1.9500000000000006,373.0,-1,372.0,1.9607730481924197,0.010773048192419088,0.010773048192419088,0.5524640098676453
1.9500000000000006,373.0,0,373.0,1.949971839345048,-2.8160654952591457e-05,2.8160654952591457e-05,0.001444136151414946
1.9500000000000006,373.0,1,374.0,1.939268937814825,-0.010731062185175722,0.010731062185175722,0.5503108812910624
1.9500000000000006,373.0,2,375.0,1.9286630075640927,-0.02133699243590792,0.02133699243590792,1.09420474030297
1.9500000000000006,373.0,5,378.0,1.8974140423893675,-0.052585957610633116,0.052585957610633116,2.6967157749042614
2.000000000000001,368.0,-5,363.0,2.0626408760410953,0.06264087604109436,0.06264087604109436,3.1320438020547168
2.000000000000001,368.0,-2,366.0,2.027722753130053,0.027722753130051903,0.027722753130051903,1.3861376565025945
2.000000000000001,368.0,-1,367.0,2.01630222191369,0.01630222191368924,0.01630222191368924,0.8151110956844617
2.000000000000001,368.0,0,368.0,2.0049885525977706,0.004988552597769758,0.004988552597769758,0.24942762988848774
2.000000000000001,368.0,1,369.0,1.9937802523066508,-0.006219747693350097,0.006219747693350097,0.31098738466750475
2.000000000000001,368.0,2,370.0,1.98267585584337,-0.017324144156630972,0.017324144156630972,0.8662072078315483
2.000000000000001,368.0,5,373.0,1.949971839345048,-0.05002816065495286,0.05002816065495286,2.501408032747642
2.0500000000000007,364.0,-5,359.0,2.1107901312162407,0.060790131216239995,0.060790131216239995,2.9653722544507306
2.0500000000000007,364.0,-2,362.0,2.074504360572411,0.024504360572410455,0.024504360572410455,1.1953346620688021
2.0500000000000007,364.0,-1,363.0,2.0626408760410953,0.01264087604109454,0.01264087604109454,0.6166280995655871
2.0500000000000007,364.0,0,364.0,2.050890515119019,0.0008905151190181648,0.0008905151190181648,0.043439761903325096
2.0500000000000007,364.0,1,365.0,2.039251667457873,-0.010748332542127592,0.010748332542127592,0.5243089044940287
2.0500000000000007,364.0,2,366.0,2.027722753130053,-0.02227724686994792,0.02227724686994792,1.086694969265752
2.0500000000000007,364.0,5,369.0,1.9937802523066508,-0.05621974769334992,0.05621974769334992,2.7424267167487755
2.1000000000000005,360.0,-5,355.0,2.1608582210129446,0.060858221012944025,0.060858221012944025,2.898010524425905
2.1000000000000005,360.0,-2,358.0,2.1231228482872155,0.023122848287215003,0.023122848287215003,1.1010880136769046
2.1000000000000005,360.0,-1,359.0,2.1107901312162407,0.010790131216240173,0.010790131216240173,0.5138157722019129
2.1000000000000005,360.0,0,360.0,2.09857729839522,-0.0014227016047807517,0.0014227016047807517,0.06774769546575006
2.1000000000000005,360.0,1,361.0,2.0864826102176868,-0.01351738978231376,0.01351738978231376,0.6436852277292265
2.1000000000000005,360.0,2,362.0,2.074504360572411,-0.025495639427589367,0.025495639427589367,1.2140780679804457
2.1000000000000005,360.0,5,365.0,2.039251667457873,-0.060748332542127415,0.060748332542127415,2.892777740101305
2.150000000000001,356.0,-5,351.0,2.212962180998765,0.06296218099876416,0.06296218099876416,2.928473534826239
2.150000000000001,356.0,-2,354.0,2.1736885704867954,0.023688570486794625,0.023688570486794625,1.1017939761299822
2.150000000000001,356.0,-1,355.0,2.1608582210129446,0.010858221012943758,0.010858221012943758,0.505033535485756
2.150000000000001,356.0,0,356.0,2.1481550660619435,-0.0018449339380572916,0.0018449339380572916,0.085810880839874
2.150000000000001,356.0,1,357.0,2.1355772235358987,-0.01442277646410206,0.01442277646410206,0.6708268122838165
2.150000000000001,356.0,2,358.0,2.1231228482872155,-0.026877151712785263,0.026877151712785263,1.2501000796644304
2.150000000000001,356.0,5,361.0,2.0864826102176868,-0.06351738978231403,0.06351738978231403,2.9542971991773954
2.200000000000001,352.0,-5,347.0,2.2672287620713916,0.0672287620713905,0.0672287620713905,3.0558528214268397
